,real_price
36193,52.43
36194,49.85
36195,47.27
36196,80.85
36197,84.66
36198,85.53
36199,99.41
36200,119.07
36201,85.02
36202,86.39
36203,85.37
36204,85.03
36205,84.81
36206,82.49
36207,82.2
36208,84.51
36209,110.11
36210,112.44
36211,105.73
36212,101.64
36213,88.58
36214,85.05
36215,78.12
36216,52.72
36217,48.07
36218,46.01
36219,45.3
36220,44.01
36221,46.12
36222,53.01
36223,57.65
36224,54.33
36225,53.94
36226,53.43
36227,57.19
36228,60.94
36229,53.03
36230,52.63
36231,52.79
36232,53.59
36233,59.98
36234,56.7
36235,53.22
36236,54.71
36237,53.83
36238,57.22
36239,51.39
36240,51.19
36241,48.64
36242,49.96
36243,49.12
36244,48.82
36245,51.26
36246,52.08
36247,72.45
36248,90.75
36249,117.71
36250,58.28
36251,58.21
36252,56.52
36253,51.31
36254,62.99
36255,49.44
36256,51.1
36257,51.5
36258,54.23
36259,51.35
36260,50.93
36261,66.98
36262,49.26
36263,44.37
36264,46.54
36265,29.97
36266,30.78
36267,34.94
36268,38.14
36269,28.98
36270,39.38
36271,40.32
36272,40.69
36273,40.62
36274,40.56
36275,40.5
36276,38.74
36277,38.59
36278,30.47
36279,31.55
36280,31.48
36281,35.1
36282,44.12
36283,36.63
36284,32.33
36285,29.07
36286,30.15
36287,30.91
36288,30.05
36289,24.59
36290,21.93
36291,34.9
36292,13.37
36293,20.18
36294,31.44
36295,35.05
36296,36.24
36297,13.36
36298,14.96
36299,13.34
36300,20.21
36301,21.17
36302,25.83
36303,27.16
36304,28.07
36305,36.56
36306,30.48
36307,29.1
36308,34.68
36309,12.13
36310,13.19
36311,1.02
36312,0.0
36313,5.74
36314,9.13
36315,0.44
36316,0.0
36317,8.47
36318,12.41
36319,21.83
36320,29.98
36321,33.76
36322,36.16
36323,40.06
36324,41.03
36325,34.38
36326,34.31
36327,33.23
36328,34.59
36329,44.25
36330,39.22
36331,13.29
36332,15.79
36333,9.62
36334,7.02
36335,5.92
36336,3.19
36337,4.17
36338,0.0
36339,3.45
36340,4.63
36341,1.04
36342,5.1
36343,20.1
36344,25.69
36345,22.26
36346,14.98
36347,14.35
36348,25.12
36349,22.58
36350,14.37
36351,13.71
36352,22.05
36353,24.77
36354,25.94
36355,23.45
36356,15.42
36357,18.54
36358,14.37
36359,24.64
36360,24.43
36361,25.8
36362,24.88
36363,14.37
36364,22.56
36365,13.63
36366,5.43
36367,0.0
36368,1.33
36369,4.43
36370,0.0
36371,5.96
36372,13.65
36373,14.39
36374,13.49
36375,4.41
36376,1.38
36377,7.07
36378,16.41
36379,17.3
36380,12.97
36381,14.37
36382,24.55
36383,17.24
36384,14.36
36385,9.48
36386,9.65
36387,11.83
36388,9.69
36389,11.55
36390,24.74
36391,44.15
36392,47.03
36393,28.12
36394,27.28
36395,27.41
36396,26.61
36397,27.26
36398,24.86
